,Symbol,Scientific Name,Common Name
12245,PSME,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir
12246,PSMEG,Pseudotsuga menziesii (Mirb.) Franco var. glauca (Beissn.) Franco,Rocky Mountain Douglas-fir
12247,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,Douglas-fir
12248,PSTA2,Pseudotsuga mucronata (Raf.) Sudw.,N/A
12249,PSAM,Psidium amplexicaule Pers.,mountain guava
12250,PSGU,Psidium guajava L.,guava
12251,PSPE2,Psiguria pedata (L.) Howard,Caribbean pygmymelon
12252,PSBR,Psilocarphus brevissimus Nutt.,short woollyheads
12253,PSBRB,Psilocarphus brevissimus Nutt. var. brevissimus,short woollyheads
12254,PSILO3,Psilostrophe,paperflower
12255,PSCO2,Psilostrophe cooperi (A. Gray) Greene,whitestem paperflower
12256,PSSP,Psilostrophe sparsiflora (A. Gray) A. Nelson,greenstem paperflower
12257,PSTA,Psilostrophe tagetina (Nutt.) Greene,woolly paperflower
12258,PSTAC,Psilostrophe tagetina (Nutt.) Greene var. cerifera (A. Nelson) B.L. Turner,woolly paperflower
12259,PSPA4,Psophocarpus palustris Desv.,psophocarpus
12260,PSTE10,Psophocarpus tetragonolobus (L.) DC.,winged bean
12261,PSCE,Psora cerebriformis W.A. Weber,cerebral fishscale lichen
12262,PSDE60,Psora decipiens (Hedwig) Hoffm.,fishscale lichen
12263,PSMO7,Psora montana Timdal,mountain fishscale lichen
12264,PSTU,Psora tuckermanii R. Anderson ex Timdal,Tuckerman's fishscale lichen
12265,PSLA3,Psoralidium lanceolatum (Pursh) Rydb.,lemon scurfpea
12266,PSLA,Psoralea lanceolata Pursh,N/A
12267,PSTE5,Psoralidium tenuiflorum (Pursh) Rydb.,slimflower scurfpea
12268,PSTE3,Psoralidium batesii Rydb.,N/A
12269,PSAR4,Psorothamnus arborescens (Torr. ex A. Gray) Barneby,Mojave indigobush
12270,PSARM,Psorothamnus arborescens (Torr. ex A. Gray) Barneby var. minutifolius (Parish) Barneby,Johnson's indigobush
12271,PSEM,Psorothamnus emoryi (A. Gray) Rydb.,dyebush
12272,PSFR,Psorothamnus fremontii (Torr. ex A. Gray) Barneby,Fremont's dalea
12273,PSFRF,Psorothamnus fremontii (Torr. ex A. Gray) Barneby var. fremontii,Fremont's dalea
12274,PSKI,Psorothamnus kingii (S. Watson) Barneby,King's dalea
12275,PSPO,Psorothamnus polydenius (Torr. ex S. Watson) Rydb.,Nevada dalea
12276,PSSC5,Psorothamnus schottii (Torr.) Barneby,Schott's dalea
12277,PSSC6,Psorothamnus scoparius (A. Gray) Rydb.,broom dalea
12278,DASC7,Dalea scoparia A. Gray,N/A
12279,PSSP3,Psorothamnus spinosus (A. Gray) Barneby,smoketree
12280,DASP3,Dalea spinosa A. Gray,N/A
12281,PTELE,Ptelea,hoptree
12282,PTTR,Ptelea trifoliata L.,common hoptree
12283,PTERI,Pteridium,brackenfern
12284,PTAQ,Pteridium aquilinum (L.) Kuhn,western brackenfern
12285,PTAQL,Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller,western brackenfern
12286,PTFI,Pterigynandrum filiforme Hedw.,pterigynandrum moss
12287,PTFIM,Pterigynandrum filiforme Hedw. ssp. decipiens (F. Weber & D. Mohr) Kindb.,N/A
12288,PTERI2,Pteris,brake fern
12289,PTPY2,Pterocaulon pycnostachyum (Michx.) Elliot,dense-spike blackroot
12290,PTEC2,Pteroglossaspis ecristata (Fernald) Rolfe,giant orchid
12291,PTGR3,Pterogonium gracile (Hedw.) Sm.,pterogonium moss
12292,PTAN2,Pterospora andromedea Nutt.,woodland pinedrops
12293,PTLA2,Pterygoneurum lamellatum (Lindb.) Jur.,lamella pterygoneurum moss
12294,PTOV,Pterygoneurum ovatum (Hedw.) Dix.,ovate pterygoneurum moss
12295,PTSU,Pterygoneurum subsessile (Brid.) Jur.,sessile pterygoneurum moss
12296,PTPE,Pteryxia petraea (M.E. Jones) J.M. Coult. & Rose,rockloving wavewing
