,Symbol,Scientific Name,Common Name
9343,MELU,Medicago lupulina L.,black medick
9344,MEMI,Medicago minima (L.) L.,little bur-clover
9345,MEMO5,Medicago monspeliaca (L.) Trautv.,hairy medick
9346,MEOR2,Medicago orbicularis (L.) Bartal.,blackdisk medick
9347,MEPO3,Medicago polymorpha L.,burclover
9348,MEAP3,Medicago apiculata auct. non Willd.,N/A
9349,MEHI,Medicago apiculata auct. non Willd.,N/A
9350,MEHIA,Medicago apiculata auct. non Willd.,N/A
9351,MEHIC,Medicago apiculata auct. non Willd.,N/A
9352,MEPOB,Medicago apiculata auct. non Willd.,N/A
9353,MEPOV,Medicago apiculata auct. non Willd.,N/A
9354,MEPR,Medicago praecox DC.,Mediterranean medick
9355,MERI3,Medicago rigidula (L.) All.,Tifton burclover
9356,MERU3,Medicago rugosa Desr.,wrinkled medick
9357,MESA,Medicago sativa L.,alfalfa
9358,MESAF,Medicago sativa L. ssp. falcata (L.) Arcang.,yellow alfalfa
9359,MESAS,Medicago sativa L. ssp. sativa,alfalfa
9360,MESAV8,Medicago media Pers.,N/A
9361,MESC6,Medicago scutellata (L.) Mill.,snail medick
9362,METR10,Medicago truncatula Gaertn.,barrelclover
9363,METR11,Medicago tribuloides Desr. ex Lam.,N/A
9364,METU,Medicago turbinata (L.) All.,southern medick
9365,MECO,Meehania cordata (Nutt.) Britton,Meehan's mint
9366,METR70,Meesia triquetra (L. ex Jolycl.) Ångstr.,meesia moss
9367,MEUL70,Meesia uliginosa Hedw.,meesia moss
9368,MEER6,Megaskepasma erythrochlamys Lindau,Brazilian red-cloak
9369,MEVE6,Megaspora verrucosa (Ach.) Hafellner & V. Wirth,megaspora lichen
9370,MEDI11,Melaleuca diosmifolia Andrews,dotted melaleuca
9371,MEIN17,Melaleuca incana R. Br.,gray honeymyrtle
9372,MELA14,Melaleuca lateritia A. Dietr.,robin redbreast bush
9373,MELI7,Melaleuca linariifolia Sm.,cajeput tree
9374,MEQU,Melaleuca quinquenervia (Cav.) S.F. Blake,punktree
9375,MEST11,Melaleuca styphelioides Sm.,prickly-leaf teatree
9376,METH2,Melaleuca thymifolia Sm.,thymeleaf melaleuca
9377,MECI,Melampodium cinereum DC.,hoary blackfoot
9378,MELE2,Melampodium leucanthum Torr. & A. Gray,plains blackfoot
9379,MELI2,Melampyrum lineare Desr.,narrowleaf cowwheat
9380,MELIL2,Melampyrum lineare Desr. var. latifolium Bart.,narrowleaf cowwheat
9381,MEASA,Melanthera aspera (Jacq.) Steud. ex Small var. aspera,yerba de cabra
9382,MECA9,Melastoma candidum D. Don,Asian melastome
9383,MESA3,Melastoma sanguineum Sims,red melastome
9384,MELIA,Melia,melia
9385,MEAZ,Melia azedarach L.,Chinaberrytree
9386,MEAL,Melica altissima L.,Siberian melicgrass
9387,MEAR3,Melica aristata Thurb. ex Bol.,bearded melicgrass
9388,MEBU,Melica bulbosa Geyer ex Porter & J.M. Coult.,oniongrass
9389,MEIN,Bromelica bulbosa (Geyer ex Porter & J.M. Coult.) W.A. Weber,N/A
9390,MECA2,Melica californica Scribn.,California melicgrass
9391,MEFR,Melica frutescens Scribn.,woody melicgrass
9392,MEFU,Melica fugax Bol.,little oniongrass
9393,MEGE,Melica geyeri Munro ex Bol.,Geyer's oniongrass
9394,MEHA2,Melica harfordii Bol.,Harford's oniongrass
9395,MEIM,Melica imperfecta Trin.,smallflower melicgrass
9396,MEMO,Melica montezumae Piper,Montezuma melicgrass
9397,MEMU,Melica mutica Walter,twoflower melicgrass
9398,MENI,Melica nitens (Scribn.) Nutt. ex Piper,threeflower melicgrass
9399,MEPO,Melica porteri Scribn.,Porter's melicgrass
9400,MESM,Melica smithii (Porter ex A. Gray) Vasey,Smith's melicgrass
9401,AVSM,Avena smithii Porter ex A. Gray,N/A
9402,MESP,Melica spectabilis Scribn.,purple oniongrass
9403,MEST,Melica stricta Bol.,rock melicgrass
9404,MESU,Melica subulata (Griseb.) Scribn.,Alaska oniongrass
9405,METO,Melica torreyana Scribn.,Torrey's melicgrass
9406,MEAL3,Melilotus altissimus Thuill.,tall yellow sweetclover
9407,MEIN2,Melilotus indicus (L.) All.,annual yellow sweetclover
9408,MEOF,Melilotus officinalis (L.) Lam.,yellow sweetclover
9409,MEAL12,"Melilotus alba Medikus, orth. var.",N/A
9410,MEAL2,"Melilotus alba Medikus, orth. var.",N/A
9411,MESU12,Melilotus suaveolens Ledeb.,sweetclover
9412,MEMI2,Melinis minutiflora P. Beauv.,molassesgrass
9413,MERE9,Melinis repens (Willd.) Zizka,rose Natal grass
9414,RHRO2,Rhynchelytrum repens (Willd.) C.E. Hubbard,N/A
9415,TRRE8,Rhynchelytrum repens (Willd.) C.E. Hubbard,N/A
9416,TRRO7,Rhynchelytrum repens (Willd.) C.E. Hubbard,N/A
9417,MEOF2,Melissa officinalis L.,common balm
9418,MELOC2,Melocactus,melocactus
9419,MEIN7,Melocactus intortus (Mill.) Urb.,Turk's cap
9420,MECO4,Melochia corchorifolia L.,chocolateweed
9421,MEPE3,Melothria pendula L.,Guadeloupe cucumber
9422,MEPEP,Melothria pendula L. var. pendula,Guadeloupe cucumber
9423,MECA3,Menispermum canadense L.,common moonseed
9424,MENOD,Menodora,menodora
9425,MESC,Menodora scabra A. Gray,rough menodora
9426,MESP2,Menodora spinescens A. Gray,spiny menodora
9427,MEAQ,Mentha aquatica L.,water mint
9428,MECI2,Mentha citrata Ehrh.,N/A
9429,MEPIC2,Mentha citrata Ehrh.,N/A
9430,MEAR4,Mentha arvensis L.,wild mint
9431,MECA7,Mentha arvensis L. ssp. borealis (Michx.) Roy L. Taylor & MacBryde,N/A
9432,MEGE2,Mentha arvensis L. ssp. borealis (Michx.) Roy L. Taylor & MacBryde,N/A
9433,MEGR2,Mentha ×gracilis Sole (pro sp.) [arvensis × spicata],gingermint
9434,MEPI,Mentha ×piperita L. (pro sp.) [aquatica × spicata],peppermint
9435,MECR6,Mentha aquatica L. var. crispa (L.) Benth.,N/A
9436,MESP3,Mentha spicata L.,spearmint
9437,MELO8,Mentha cordifolia auct.,N/A
9438,MESU5,Mentha suaveolens Ehrh.,apple mint
9439,MEVI6,Mentha ×villosa Huds. (pro sp.) [spicata × suaveolens], 
9440,MEAL6,Mentzelia albicaulis (Hook.) Torr. & A. Gray,whitestem blazingstar
9441,MEAS2,Mentzelia asperula Woot. & Standl.,Organ Mountain blazingstar
9442,MEDE2,Mentzelia decapetala (Pursh ex Sims) Urb. & Gilg ex Gilg,tenpetal blazingstar
9443,NUDE,Nuttallia decapetala (Pursh ex Sims) Greene,N/A
9444,MEDI,Mentzelia dispersa S. Watson,bushy blazingstar
9445,MEHU,Mentzelia humilis (A. Gray) J. Darl.,gypsum blazingstar
9446,MEIN5,Mentzelia involucrata S. Watson,whitebract blazingstar
9447,MELA2,Mentzelia laevicaulis (Hook.) Torr. & A. Gray,smoothstem blazingstar
9448,MELAL3,Mentzelia laevicaulis (Hook.) Torr. & A. Gray var. laevicaulis,smoothstem blazingstar
9449,MELE3,Mentzelia leucophylla Brandegee,Ash Meadows blazingstar
9450,MELI4,Mentzelia lindleyi Torr. & A. Gray,Lindley's blazingstar
9451,MEMI3,Mentzelia micrantha (Hook. & Arn.) Torr. & A. Gray,San Luis blazingstar
9452,MEMU3,Mentzelia multiflora (Nutt.) A. Gray,Adonis blazingstar
9453,MENI2,Mentzelia nitens Greene,shining blazingstar
9454,MENU,Mentzelia nuda (Pursh) Torr. & A. Gray,bractless blazingstar
9455,MENUN,Mentzelia nuda (Pursh) Torr. & A. Gray var. nuda,bractless blazingstar
9456,MENUS,Mentzelia nuda (Pursh) Torr. & A. Gray var. stricta (Osterh.) Harrington,bractless blazingstar
9457,NUST,Mentzelia stricta (Osterh.) G.W. Stevens ex Jeffs & Little,N/A
9458,MEOB3,Mentzelia obscura H.J. Thomp. & Roberts,Pacific blazingstar
9459,MEOL,Mentzelia oligosperma Nutt. ex Sims,chickenthief
9460,MEOR3,Mentzelia oreophila J. Darl.,Argus blazingstar
9461,MEPA5,Mentzelia packardiae Glad.,Packard's blazingstar
9462,MEPE4,Mentzelia pectinata Kellogg,San Joaquin blazingstar
9463,MEPU3,Mentzelia pumila Nutt. ex Torr. & A. Gray,dwarf mentzelia
9464,METI,Mentzelia tiehmii N.H. Holmgren & P.K. Holmgren,Tiehm's blazing star
9465,METO2,Mentzelia torreyi A. Gray,Torrey's blazingstar
9466,METR3,Menyanthes trifoliata L.,buckbean
9467,MEFE,Menziesia ferruginea Sm.,rusty menziesia
9468,MEGL2,Menziesia ferruginea Sm. ssp. glabella (A. Gray) Calder & Roy L. Taylor,N/A
9469,MEPI2,Menziesia pilosa (Michx. ex Lam.) Juss. ex Pers.,minniebush
9470,MEAN,Mercurialis annua L.,annual mercury
9471,MEAE,Merremia aegyptia (L.) Urb.,hairy woodrose
9472,MECI5,Merremia cissoides (Lam.) Hallier f.,roadside woodrose
9473,MEDI2,Merremia dissecta (Jacq.) Hallier f.,noyau vine
9474,MEQU2,Merremia quinquefolia (L.) Hallier f.,rock rosemary
9475,METU2,Merremia tuberosa (L.) Rendle,Spanish arborvine
9476,MEUM,Merremia umbellata (L.) Hallier f.,hogvine
9477,MERTE,Mertensia,bluebells
9478,MEBR,Mertensia brevistyla S. Watson,shortstyle bluebells
9479,MECI3,Mertensia ciliata (James ex Torr.) G. Don,tall fringed bluebells
9480,MECIC2,Mertensia ciliata (James ex Torr.) G. Don var. ciliata,tall fringed bluebells
9481,MEFR2,Mertensia franciscana A. Heller,Franciscan bluebells
9482,MELA3,Mertensia lanceolata (Pursh) DC.,prairie bluebells
9483,MELO4,Mertensia longiflora Greene,small bluebells
9484,MEMAM,Mertensia maritima (L.) Gray var. maritima,oysterleaf
9485,MEOB,Mertensia oblongifolia (Nutt.) G. Don,oblongleaf bluebells
9486,MEOBN,Mertensia bakeri Greene,N/A
9487,MEVI4,Mertensia bakeri Greene,N/A
9488,MEPA,Mertensia paniculata (Aiton) G. Don,tall bluebells
9489,MEPAB,Mertensia paniculata (Aiton) G. Don var. borealis (J.F. Macbr.) L.O. Williams,northern bluebells
9490,MEVI3,Mertensia virginica (L.) Pers. ex Link,Virginia bluebells
9491,MESEM,Mesembryanthemum,iceplant
9492,MECR3,Mesembryanthemum crystallinum L.,common iceplant
9493,MENO2,Mesembryanthemum nodiflorum L.,slenderleaf iceplant
9494,MEGE4,Mespilus germanica L.,medlar
9495,MEME8,Metaneckera menziesii (Hook.) Steere,Menzies' metaneckera moss
9496,MEJA,Metaplexis japonica (Thunb.) Makino,rough potato
9497,METAS2,Metasequoia,dawn redwood
9498,MEGL8,Metasequoia glyptostroboides Hu & W.C. Cheng,dawn redwood
9499,MEPOP2,Metrosideros polymorpha Gaudich. var. polymorpha,'ohi'a lehua
9500,MESA7,Metroxylon sagu Rottb.,sago palm
9501,MECO19,Metzgeria conjugata Lindb., 
9502,MEFU4,Metzgeria furcata (L.) Dumort., 
9503,METE11,Metzgeria temperata Kuwah., 
9504,MIMI,Mibora minima (L.) Desv.,early sandgrass
9505,MIDO4,Michelia doltsopa Buch.-Ham. ex DC.,sweet michelia
9506,MIFO,Miconia foveolata Cogn.,Puerto Rico johnnyberry
9507,MILA8,Miconia laevigata (L.) D. Don,smooth johnnyberry
9508,MIMI3,Miconia mirabilis (Aubl.) L.O. Williams,camasey cuatrocanales
9509,MIPA7,Miconia pachyphylla Cogn.,camasey racimoso
9510,MIRA2,Miconia racemosa (Aubl.) DC.,camasey felpa
9511,MISI2,Miconia sintenisii Cogn.,mountain johnnyberry
9512,MITH,Miconia thomasiana DC.,camasey tomaso
9513,MIMI6,Micranthemum micranthemoides (Nutt.) Wettst.,Nuttall's mudflower
9514,MIUM,Micranthemum umbrosum (J.F. Gmel.) S.F. Blake,shade mudflower
9515,MIKU,Microchloa kunthii Desv.,Kunth's smallgrass
9516,MIST,Microlaena stipoides (Labill.) R. Br.,weeping grass
9517,MIBO,Microseris borealis (Bong.) Sch. Bip.,northern microseris
9518,MILAL,Microseris laciniata (Hook.) Sch. Bip. ssp. laciniata,cutleaf silverpuffs
9519,MILI5,Microseris lindleyi (DC.) A. Gray,Lindley's silverpuffs
9520,MINU,Microseris nutans (Hook.) Sch. Bip.,nodding microseris
9521,MIVI,Microstegium vimineum (Trin.) A. Camus,Nepalese browntop
9522,EUVI3,Andropogon vimineum Trin.,N/A
9523,MIGR,Microsteris gracilis (Hook.) Greene,slender phlox
9524,MIGRG4,Microsteris gracilis (Hook.) Greene var. gracilis,slender phlox
9525,PHGR16,Gilia gracilis Hook.,N/A
9526,PHGRG,Gilia gracilis Hook.,N/A
9527,MIGRH,Microsteris gracilis (Hook.) Greene var. humilior (Hook.) Cronquist,slender phlox
9528,MIMI17,Gilia gracilis Hook. var. humilior (Hook.) H. St. John,N/A
9529,PHGRH,Gilia gracilis Hook. var. humilior (Hook.) H. St. John,N/A
9530,MIPE8,Microthlaspi perfoliatum (L.) F.K. Mey.,claspleaf pennycress
9531,MIMIE,Mielichhoferia mielichhoferiana (Funck) Loeske var. elongata (Hoppe & Hornsch. ex Hook.) Wijk & Margad.,Mielichhofer's copper moss
9532,MISC,Mikania scandens (L.) Willd.,climbing hempvine
9533,MIEF,Milium effusum L.,American milletgrass
9534,MILTO,Miltonia,pansy orchid
9535,MIPI5,Mimetanthe pilosa (Benth.) Greene,false monkeyflower
9536,MIPI8,Mimulus pilosus (Benth.) S. Watson,N/A
9537,MIAC3,Mimosa aculeaticarpa Ortega,catclaw mimosa
9538,MIACB,Mimosa aculeaticarpa Ortega var. biuncifera (Benth.) Barneby,catclaw mimosa
9539,MIAR4,Mimosa arenosa (Willd.) Poir.,elegant mimosa
9540,MIBO2,Mimosa borealis A. Gray,fragrant mimosa
9541,MICA9,Mimosa casta L.,graceful mimosa
9542,MICE,Mimosa ceratonia L.,black ambret
9543,MIDI8,Mimosa diplotricha C. Wright,giant false sensitive plant
9544,MIDIL,Mimosa distachya Cav. var. laxiflora (Benth.) Barneby,Arizona mimosa
9545,MIDY,Mimosa dysocarpa Benth.,velvetpod mimosa
9546,MIEM,Mimosa emoryana Benth.,Emory's mimosa
9547,MIMA,Mimosa malacophylla A. Gray,softleaf mimosa
9548,MIMI22,Mimosa microphylla Dryand.,littleleaf sensitive-briar
9549,MOMI3,Leptoglottis angustisiliqua Britton & Rose,N/A
9550,MOUN4,Leptoglottis angustisiliqua Britton & Rose,N/A
9551,SCUN,Leptoglottis angustisiliqua Britton & Rose,N/A
9552,MIPE2,Mimosa pellita Kunth ex Willd.,lollipop mimosa
9553,MIPU8,Mimosa pudica L.,shameplant
9554,MIQUL2,"Mimosa quadrivalvis L. var. leptocarpa (DC.) Barneby, nom. inq.",fourvalve mimosa
9555,MIRO6,Mimosa roemeriana Scheele,Roemer's mimosa
9556,MIST2,Mimosa strigillosa Torr. & A. Gray,powderpuff
9557,MIMUL,Mimulus,monkeyflower
9558,MIAL2,Mimulus alatus Aiton,sharpwing monkeyflower
9559,MIAL3,Mimulus alsinoides Douglas ex Benth.,wingstem monkeyflower
9560,MIAN,Mimulus androsaceus Curran ex Greene,rockjasmine monkeyflower
9561,MIAR,Mimulus arenarius A.L. Grant,sandloving monkeyflower
9562,MIBI4,Mimulus bicolor Hartw. ex Benth.,yellow and white monkeyflower
9563,MIBI6,Mimulus bigelovii (A. Gray) A. Gray,Bigelow's monkeyflower
9564,MIBIB2,Mimulus bigelovii (A. Gray) A. Gray var. bigelovii,Bigelow's monkeyflower
9565,MIBO3,Mimulus bolanderi A. Gray,Bolander's monkeyflower
9566,MIBR3,Mimulus breviflorus Piper,shortflower monkeyflower
9567,MIBR5,Mimulus breweri (Greene) Coville,Brewer's monkeyflower
9568,MICA3,Mimulus cardinalis Douglas ex Benth.,scarlet monkeyflower
9569,MICO2,Mimulus congdonii B.L. Rob.,Congdon's monkeyflower
9570,MICU2,Mimulus cusickii (Greene) Rattan,Cusick's monkeyflower
9571,MIDO2,Mimulus douglasii (Benth.) A. Gray,brownies
9572,MIEA,Mimulus eastwoodiae Rydb.,Eastwood's monkeyflower
9573,MIEX,Mimulus exiguus A. Gray,San Bernardino Mountain monkeyflower
9574,MIFL2,Mimulus floribundus Lindl.,manyflowered monkeyflower
9575,MIFR2,Mimulus fremontii (Benth.) A. Gray,Fremont's monkeyflower
9576,MIGLJ,Mimulus glabratus Kunth var. jamesii (Torr. & A. Gray ex Benth.) A. Gray,James' monkeyflower
9577,MIGU,Mimulus guttatus DC.,seep monkeyflower
9578,MILA13,Mimulus arvensis Greene,N/A
9579,MIJO,Mimulus johnstonii A.L. Grant,Johnston's monkeyflower
9580,MIKE,Mimulus kelloggii (Curran ex Greene) Curran ex A. Gray,Kellogg's monkeyflower
9581,MILA4,Mimulus latidens (A. Gray) Greene,broadtooth monkeyflower
9582,MILE2,Mimulus lewisii Pursh,purple monkeyflower
9583,MIMO,Mimulus mohavensis Lemmon,Mojave monkeyflower
9584,MIMO3,Mimulus moschatus Douglas ex Lindl.,muskflower
9585,MIMOM2,Mimulus moschatus Douglas ex Lindl. var. moschatus,muskflower
9586,MINA,Mimulus nanus Hook. & Arn.,dwarf purple monkeyflower
9587,MIOV2,Mimulus ovatus (A. Gray) N.H. Holmgren,eggleaf monkeyflower
9588,MIPA2,Mimulus palmeri A. Gray,Palmer's monkeyflower
9589,MIPI2,Mimulus pictus (Curran ex Greene) A. Gray,calico monkeyflower
9590,MIPR,Mimulus primuloides Benth.,primrose monkeyflower
9591,MIPU4,Mimulus purpureus A.L. Grant,little purple monkeyflower
9592,MIPY,Mimulus pygmaeus A.L. Grant,Egg Lake monkeyflower
9593,MIRI,Mimulus ringens L.,Allegheny monkeyflower
9594,MIRIR,Mimulus ringens L. var. ringens,Allegheny monkeyflower
9595,MIRU,Mimulus rubellus A. Gray,little redstem monkeyflower
9596,MIRU2,Mimulus rupicola Coville & A.L. Grant,Death Valley monkeyflower
9597,MISU2,Mimulus suksdorfii A. Gray,Suksdorf's monkeyflower
9598,MITI,Mimulus tilingii Regel,Tiling's monkeyflower
9599,MITO,Mimulus torreyi A. Gray,Torrey's monkeyflower
9600,MITR3,Mimulus tricolor Hartw. ex Lindl.,tricolor monkeyflower
9601,MIAR3,Minuartia arctica (Stev. ex Ser.) Graebn.,arctic stitchwort
9602,MIBI9,Minuartia biflora (L.) Schinz & Thell.,mountain stitchwort
9603,MICA7,Minuartia californica (A. Gray) Mattf.,California sandwort
9604,MICA8,Minuartia caroliniana (Walter) Mattf.,pine barren stitchwort
9605,MIDA,Minuartia dawsonensis (Britton) House,rock stitchwort
9606,MIGR7,Minuartia groenlandica (Retz.) Ostenf.,Greenland stitchwort
9607,MIMA3,Minuartia macrantha (Rydb.) House,House's stitchwort
9608,MIMIM,Minuartia michauxii (Fenzl) Farw. var. michauxii,Michaux's stitchwort
9609,MIMIT,Minuartia michauxii (Fenzl) Farw. var. texana (B.L. Rob.) Mattf.,Texas stitchwort
9610,MINUF,Minuartia nuttallii (Pax) Briq. ssp. fragilis (Maguire & A.H. Holmgren) McNeill,brittle sandwort
9611,MIOB2,Minuartia obtusiloba (Rydb.) House,twinflower sandwort
9612,LIOB4,Alsinopsis obtusiloba Rydb.,N/A
9613,MIPA6,Minuartia patula (Michx.) Mattf.,pitcher's stitchwort
9614,ARPA27,Arenaria patula Michx.,N/A
9615,MIRU3,Minuartia rubella (Wahlenb.) Hiern.,beautiful sandwort
9616,MIUN,Minuartia uniflora (Walter) Mattf.,oneflower stitchwort
9617,MIRAB,Mirabilis,four o'clock
9618,MIAL4,Mirabilis albida (Walter) Heimerl,white four o'clock
9619,ALAL5,Allionia albida Walter,N/A
9620,MIAL5,Mirabilis alipes (S. Watson) Pilz,winged four o'clock
9621,MICO7,Mirabilis coccinea (Torr.) Benth. & Hook. f.,scarlet four o'clock
9622,MICO15,Mirabilis comata (Small) Standl.,hairy-tuft four o'clock
9623,MIGL3,Mirabilis glabra (S. Watson) Standl.,smooth four o'clock
9624,MIHI,Mirabilis hirsuta (Pursh) MacMill.,hairy four o'clock
9625,MIJA,Mirabilis jalapa L.,marvel of Peru
9626,MILAL3,Mirabilis laevis (Benth.) Curran var. laevis,desert wishbone-bush
9627,MILAV,Mirabilis laevis (Benth.) Curran var. villosa (Kellogg) Spellenb.,wishbone-bush
9628,MIBIB,Hesperonia aspera (Greene) Standl.,N/A
9629,MILI3,Mirabilis linearis (Pursh) Heimerl,narrowleaf four o'clock
9630,ALLI3,Allionia decumbens (Nutt.) Spreng.,N/A
9631,OXLI,Allionia decumbens (Nutt.) Spreng.,N/A
9632,MILO2,Mirabilis longiflora L.,sweet four o'clock
9633,MIME8,Mirabilis melanotricha (Standl.) Spellenb., 
9634,MIMU,Mirabilis multiflora (Torr.) A. Gray,Colorado four o'clock
9635,MIMUG,Mirabilis multiflora (Torr.) A. Gray var. glandulosa (Standl.) J.F. Macbr.,Colorado four o'clock
9636,MIMUP,Mirabilis multiflora (Torr.) A. Gray var. pubescens S. Watson,Colorado four o'clock
9637,MIFR5,Mirabilis froebelii (Behr) Greene,N/A
9638,MINY,Mirabilis nyctaginea (Michx.) MacMill.,heartleaf four o'clock
9639,ALNY,Allionia nyctaginea Michx.,N/A
9640,MIOX,Mirabilis oxybaphoides (A. Gray) A. Gray,smooth spreading four o'clock
9641,MIFL3,Miscanthus floridulus (Labill.) Warb. ex K. Schum. & Lauterb.,Pacific Island silvergrass
9642,MISA,Miscanthus sacchariflorus (Maxim.) Franch.,Amur silvergrass
9643,MISI,Miscanthus sinensis Andersson,Chinese silvergrass
9644,MIBR12,Misodendrum brachystachyum DC., 
9645,MIOR,Misopates orontium (L.) Raf.,linearleaf snapdragon
9646,MIRE,Mitchella repens L.,partridgeberry
9647,MIBR6,Mitella breweri A. Gray,Brewer's miterwort
9648,MIDI3,Mitella diphylla L.,twoleaf miterwort
9649,MINU3,Mitella nuda L.,naked miterwort
9650,MIPE,Mitella pentandra Hook.,fivestamen miterwort
9651,MITRT,Mitella trifida Graham var. trifida,threeparted miterwort
9652,MIPE3,Mitreola petiolata (J.F. Gmel.) Torr. & A. Gray,lax hornpod
9653,MNAM,Mnium ambiguum H. Müll.,ambiguous calcareous moss
9654,MNHO,Mnium hornum Hedw.,horn calcareous moss
9655,MNMA70,Mnium marginatum (With.) Brid. ex P. Beauv.,olivegreen calcareous moss
9656,MNSP70,Mnium spinosum (Voit) Schwägr.,spiny calcareous moss
9657,MNSP2,Mnium spinulosum Bruch & Schimp.,largetooth calcareous moss
9658,MNST,Mnium stellare Hedw.,stellar calcareous moss
9659,MNTH70,Mnium thomsonii Schimp.,Thomson's calcareous moss
9660,MOCA,Modiola caroliniana (L.) G. Don,Carolina bristlemallow
9661,MOLA6,Moehringia lateriflora (L.) Fenzl,bluntleaf sandwort
9662,MOMA3,Moehringia macrophylla (Hook.) Fenzl,largeleaf sandwort
9663,MOBL,Moerckia blyttii (Moerch) Brockm., 
9664,MOBR,Mohavea breviflora Coville,golden desert-snapdragon
9665,MOCO,Mohavea confertiflora (A. DC.) A. Heller,ghost flower
9666,MOCA2,Molinia caerulea (L.) Moench,purple moorgrass
9667,AICA2,Aira caerulea L.,N/A
9668,MONU2,Mollugo nudicaulis Lam.,nakedstem carpetweed
9669,MOVE,Mollugo verticillata L.,green carpetweed
9670,MOCH2,Momordica charantia L.,balsampear
9671,MOLI,Monanthochloe littoralis Engelm.,shoregrass
9672,MONAR,Monarda,beebalm
9673,MOBR2,Monarda bradburiana Beck,eastern beebalm
9674,MOFI2,"Monarda fistulosa Sims, nom. inq.",N/A
9675,MOCI,Monarda citriodora Cerv. ex Lag.,lemon beebalm
9676,MOCIA,Monarda citriodora Cerv. ex Lag. ssp. austromontana (Epling) Scora,lemon beebalm
9677,MOCIC2,Monarda citriodora Cerv. ex Lag. ssp. citriodora var. citriodora,lemon beebalm
9678,MOCL,Monarda clinopodia L.,white bergamot
9679,MODI,Monarda didyma L.,scarlet beebalm
9680,MOFI,Monarda fistulosa L.,wild bergamot
9681,MOFIM2,Monarda fistulosa L. ssp. fistulosa var. menthifolia (Graham) Fernald,mintleaf bergamot
9682,MOFIM3,Monarda fistulosa L. ssp. fistulosa var. mollis (L.) Benth.,wild bergamot
9683,MOLI2,Monarda lindheimeri Engelm. & A. Gray ex A. Gray,Lindheimer's beebalm
9684,MOME,Monarda media Willd.,purple bergamot
9685,MOPE,Monarda pectinata Nutt.,pony beebalm
9686,MOPU,Monarda punctata L.,spotted beebalm
9687,MOPUO,Monarda punctata L. ssp. punctata var. occidentalis (Epling) Palmer & Steyerm.,spotted beebalm
9688,MORU,Monarda russeliana Nutt. ex Sims,redpurple beebalm
9689,MOCR,Monardella crispa Elmer,crisped monardella
9690,MOFR3,Monardella frutescens (Hoover) Jokerst,San Luis Obispo monardella
9691,MOGL,Monardella glauca Greene,pale monardella
9692,MOODG3,Monardella odoratissima Benth. ssp. glauca (Greene) Epling,N/A
9693,MOLA2,Monardella lanceolata A. Gray,mustang monardella
9694,MOLI3,Monardella linoides A. Gray,flaxleaf monardella
9695,MOMA,Monardella macrantha A. Gray,red monardella
9696,MOOD,Monardella odoratissima Benth.,mountain monardella
9697,MOPU2,Monardella purpurea Howell,serpentine monardella
9698,MOUN,Monardella undulata Benth.,curlyleaf monardella
9699,MOVI2,Monardella villosa Benth.,coyote mint
9700,MOUN2,Moneses uniflora (L.) A. Gray,single delight
9701,MOHA2,Monochoria hastata (L.) Solms [excluded],arrowleaf falsepickerelweed
9702,MOVA,Monochoria vaginalis (Burm. f.) C. Presl ex Kunth,heartshape false pickerelweed
9703,MOMY,Monodora myristica (Gaertn.) Dunal,calabash nutmeg
9704,MONU,Monolepis nuttalliana (Schult.) Greene,Nuttall's povertyweed
9705,MOCO7,Monolopia congdonii (A. Gray) B.G. Baldw.,San Joaquin woollythread
9706,MOLA3,Monolopia lanceolata Nutt.,common monolopia
9707,MOMA2,Monolopia major DC.,cupped monolopia
9708,MOBE,Monoptilon bellidiforme Torr. & A. Gray ex A. Gray,daisy desertstar
9709,MOBE2,Monoptilon bellioides (A. Gray) H.M. Hall,Mojave desertstar
9710,MOHY3,Monotropa hypopithys L.,pinesap
9711,HYAM5,Hypopitys americana (DC.) Small,N/A
9712,HYLA9,Hypopitys americana (DC.) Small,N/A
9713,MOUN3,Monotropa uniflora L.,Indianpipe
9714,MOOD2,Monotropsis odorata Schwein. ex Elliot,pygmypipes
9715,MOAD,Monstera adansonii Schott,Adanson's monstera
9716,MODE,Monstera deliciosa Liebm.,tarovine
9717,MOHI,Montanoa hibiscifolia (Benth.) Standl.,treedaisy
9718,MOCH,Montia chamissoi (Ledeb. ex Spreng.) Greene,water minerslettuce
9719,CRCH10,Claytonia chamissoi Ledeb. ex Spreng.,N/A
9720,MOFO,Montia fontana L.,annual water minerslettuce
9721,MOLI4,Montia linearis (Douglas ex Hook.) Greene,narrowleaf minerslettuce
9722,MOPAP,Montia parvifolia (Moc. ex DC.) Greene ssp. parvifolia,littleleaf minerslettuce
9723,MOCA6,Morella californica (Cham.) Wilbur,California wax myrtle
9724,MOCA7,Morella caroliniensis (Mill.) Small,southern bayberry
9725,MYCA4,Cerothamnus caroliniensis (Mill.) Tidestr.,N/A
9726,MYHE,Cerothamnus caroliniensis (Mill.) Tidestr.,N/A
9727,MOCE2,Morella cerifera (L.) Small,wax myrtle
9728,MYCE,Cerothamnus ceriferus (L.) Small,N/A
9729,MOHO3,Morella holdridgeana (Lundell) Kartesz,Palo de cera
9730,MOIN,Morella inodora (Bartram) Small,scentless bayberry
9731,MOPE6,Morella pensylvanica (Mirb.) Kartesz,northern bayberry
9732,MOCI3,Morinda citrifolia L.,Indian mulberry
9733,MOOL,Moringa oleifera Lam.,horseradishtree
